,title,cast,crew,genres,keywords,original_language
0,toy_story,"['tom_hanks', 'tim_allen', 'don_rickles', 'jim_varney', 'wallace_shawn', 'john_ratzenberger', 'annie_potts', 'john_morris', 'erik_von_detten', 'laurie_metcalf', 'r_lee_ermey', 'sarah_freeman', 'penn_jillette']",['john_lasseter'],"['animation', 'comedy', 'family']","['jealousy', 'toy', 'boy', 'friendship', 'friends']",en
1,jumanji,"['robin_williams', 'jonathan_hyde', 'kirsten_dunst', 'bradley_pierce', 'bonnie_hunt', 'bebe_neuwirth', 'david_alan_grier', 'patricia_clarkson', 'adam_hann_byrd', 'laura_bell_bundy', 'james_handy', 'gillian_barber', 'brandon_obray', 'cyrus_thiedeke', 'gary_joseph_thorup', 'leonard_zola', 'lloyd_berry', 'malcolm_stewart', 'annabel_kershaw', 'darryl_henriques', 'robyn_driscoll', 'peter_bryant', 'sarah_gilson', 'florica_vlad', 'june_lion', 'brenda_lockmuller']",['joe_johnston'],"['adventure', 'fantasy', 'family']","['board_game', 'disappearance', 'based_on_children_s_book', 'new_home', 'recluse']",en
2,grumpier_old_men,"['walter_matthau', 'jack_lemmon', 'ann_margret', 'sophia_loren', 'daryl_hannah', 'burgess_meredith', 'kevin_pollak']",['howard_deutch'],"['romance', 'comedy']","['fishing', 'best_friend', 'duringcreditsstinger', 'old_men']",en
3,waiting_to_exhale,"['whitney_houston', 'angela_bassett', 'loretta_devine', 'lela_rochon', 'gregory_hines', 'dennis_haysbert', 'michael_beach', 'mykelti_williamson', 'lamont_johnson', 'wesley_snipes']",['forest_whitaker'],"['comedy', 'drama', 'romance']","['based_on_novel', 'interracial_relationship', 'single_mother', 'divorce', 'chick_flick']",en
4,father_of_the_bride_part_ii,"['steve_martin', 'diane_keaton', 'martin_short', 'kimberly_williams_paisley', 'george_newbern', 'kieran_culkin', 'bd_wong', 'peter_michael_goetz', 'kate_mcgregor_stewart', 'jane_adams', 'eugene_levy', 'lori_alan']",['charles_shyer'],['comedy'],"['baby', 'midlife_crisis', 'confidence', 'aging', 'daughter']",en
5,heat,"['al_pacino', 'robert_de_niro', 'val_kilmer', 'jon_voight', 'tom_sizemore', 'diane_venora', 'amy_brenneman', 'ashley_judd', 'mykelti_williamson', 'natalie_portman', 'ted_levine', 'tom_noonan', 'tone_loc', 'hank_azaria', 'wes_studi', 'dennis_haysbert', 'danny_trejo', 'henry_rollins', 'william_fichtner', 'kevin_gage', 'susan_traylor', 'jerry_trimble', 'ricky_harris', 'jeremy_piven', 'xander_berkeley', 'begonya_plaza', 'rick_avery', 'hazelle_goodman', 'ray_buktenica', 'max_daniels', 'vince_deadrick_jr_', 'steven_ford', 'farrah_forke', 'patricia_healy', 'paul_herman', 'cindy_katz', 'brian_libby', 'dan_martin', 'mario_roberts', 'thomas_rosales_jr_', 'yvonne_zima', 'mick_gould', 'bud_cort', 'viviane_vives', 'kim_staunton', 'martin_ferrero', 'brad_baldridge', 'andrew_camuccio', 'kenny_endoso', 'kimberly_flynn', 'niki_harris', 'bill_mcintosh', 'rick_marzan', 'terry_miller', 'daniel_o_haco', 'kai_soremekun', 'peter_blackwell', 'trevor_coppola', 'mary_kircher', 'darin_mangan', 'robert_miranda', 'manny_perry', 'iva_franks_singer', 'tim_werner', 'philip_ettington']",['michael_mann'],"['action', 'crime', 'drama', 'thriller']","['robbery', 'detective', 'bank', 'obsession', 'chase']",en
6,sabrina,"['harrison_ford', 'julia_ormond', 'greg_kinnear', 'angie_dickinson', 'nancy_marchand', 'john_wood', 'richard_crenna', 'lauren_holly', 'dana_ivey', 'fanny_ardant', 'patrick_bruel', 'paul_giamatti', 'miriam_colon', 'elizabeth_franz', 'valerie_lemercier', 'becky_ann_baker', 'john_c_vennema', 'margo_martindale', 'j_smith_cameron', 'christine_luneau_lipton', 'michael_dees', 'denis_holmes', 'jo_jo_lowe', 'ira_wheeler', 'philippa_cooper', 'ayako_kawahara', 'francois_genty', 'guillaume_gallienne', 'ines_sastre', 'phina_oruche', 'andrea_behalikova', 'jennifer_herrera', 'kristina_kumlin', 'eva_linderholm', 'carmen_chaplin', 'micheline_van_de_velde', 'joanna_rhodes', 'alan_boone', 'patrick_forster_delmas', 'kentaro_matsuo', 'peter_mckernan', 'ed_connelly', 'ronald_l_schwary', 'alvin_lum', 'siching_song', 'phil_nee', 'randy_becker', 'susan_browning', 'anthony_mondal', 'peter_parks', 'woodrow_asai', 'eric_bruno_borgman', 'michael_cline', 'christopher_del_gaudio', 'philippe_hartmann', 'jerry_quinn', 'dori_rosenthal']",['sydney_pollack'],"['comedy', 'romance']","['paris', 'brother_brother_relationship', 'chauffeur', 'long_island', 'fusion']",en
7,tom_and_huck,"['jonathan_taylor_thomas', 'brad_renfro', 'rachael_leigh_cook', 'michael_mcshane', 'amy_wright', 'eric_schweig', 'tamara_mello']",['peter_hewitt'],"['action', 'adventure', 'drama', 'family']",[],en
8,sudden_death,"['jean_claude_van_damme', 'powers_boothe', 'dorian_harewood', 'raymond_j_barry', 'ross_malinger', 'whittni_wright']",['peter_hyams'],"['action', 'adventure', 'thriller']","['terrorist', 'hostage', 'explosive', 'vice_president']",en
9,goldeneye,"['pierce_brosnan', 'sean_bean', 'izabella_scorupco', 'famke_janssen', 'joe_don_baker', 'judi_dench', 'gottfried_john', 'robbie_coltrane', 'alan_cumming', 'tcheky_karyo', 'desmond_llewelyn', 'samantha_bond', 'michael_kitchen', 'serena_gordon', 'simon_kunz', 'billy_j_mitchell', 'constantine_gregory', 'minnie_driver', 'michelle_arthur', 'ravil_isyanov']",['martin_campbell'],"['adventure', 'action', 'thriller']","['cuba', 'falsely_accused', 'secret_identity', 'computer_virus', 'secret_base']",en
10,the_american_president,"['michael_douglas', 'annette_bening', 'michael_j_fox', 'martin_sheen', 'anna_deavere_smith', 'shawna_waldron', 'samantha_mathis', 'david_paymer', 'richard_dreyfuss', 'nina_siemaszko', 'wendie_malick', 'beau_billingslea', 'gail_strickland', 'joshua_malina', 'clement_von_franckenstein', 'john_mahoney', 'john_mahon', 'gabriel_jarret']",['rob_reiner'],"['comedy', 'drama', 'romance']","['white_house', 'usa_president', 'new_love', 'widower', 'wildlife_conservation']",en
11,dracula_dead_and_loving_it,"['leslie_nielsen', 'mel_brooks', 'amy_yasbeck', 'peter_macnicol', 'lysette_anthony', 'harvey_korman', 'steven_weber', 'mark_blankfield', 'megan_cavanagh', 'gregg_binkley', 'anne_bancroft']",['mel_brooks'],"['comedy', 'horror']","['dracula', 'spoof']",en
12,balto,"['kevin_bacon', 'bob_hoskins', 'bridget_fonda', 'jim_cummings', 'phil_collins', 'juliette_brewer', 'jack_angel', 'danny_mann', 'robbie_rist', 'sandra_dickinson', 'frank_welker', 'miriam_margolyes', 'lola_bates_campbell']",['simon_wells'],"['family', 'animation', 'adventure']","['wolf', 'dog_sledding_race', 'alaska', 'dog', 'goose']",en
13,nixon,"['anthony_hopkins', 'joan_allen', 'powers_boothe', 'ed_harris', 'bob_hoskins', 'e_g_marshall', 'david_paymer', 'david_hyde_pierce', 'paul_sorvino', 'mary_steenburgen', 'j_t_walsh', 'james_woods', 'brian_bedford', 'kevin_dunn', 'fyvush_finkel', 'annabeth_gish', 'larry_hagman', 'madeline_kahn', 'dan_hedaya', 'bridgette_wilson', 'tom_bower', 'tony_goldwyn', 'edward_herrmann', 'tony_lo_bianco', 'saul_rubinek', 'robert_beltran', 'john_cunningham', 'john_diehl', 'john_c_mcginley', 'michael_chiklis', 'ric_young', 'boris_sichkin', 'sam_waterston', 'marley_shelton']",['oliver_stone'],"['history', 'drama']","['usa_president', 'presidential_election', 'watergate_scandal', 'biography', 'government']",en
14,cutthroat_island,"['geena_davis', 'matthew_modine', 'frank_langella', 'maury_chaykin', 'patrick_malahide', 'stan_shaw', 'rex_linn', 'paul_dillon', 'christopher_masterson', 'jimmie_f_skaggs', 'harris_yulin', 'carl_chase', 'peter_geeves', 'angus_wright', 'ken_bones', 'mary_peach', 'thomas_lockyer', 'roger_booth', 'george_murcell', 'simon_atherton', 'dickey_beer', 'christopher_halliday', 'chris_johnston', 'richard_leaf', 'tam_white', 'rupert_vansittart', 'nick_bartlett', 'david_bailie', 'kwame_kwei_armah', 'ramon_tikaram', 'christopher_adamson']",['renny_harlin'],"['action', 'adventure']","['exotic_island', 'treasure', 'map', 'ship', 'scalp']",en
15,casino,"['robert_de_niro', 'sharon_stone', 'joe_pesci', 'james_woods', 'don_rickles', 'alan_king', 'kevin_pollak', 'pasquale_cajano', 'l_q_jones', 'dick_smothers', 'frank_vincent', 'oscar_goodman', 'richard_riehle', 'catherine_scorsese', 'vinny_vella', 'nobu_matsuhisa', 'erika_von_tagen', 'nick_mazzola', 'david_rose', 'john_bloom', 'joseph_rigano', 'philip_suriano', 'melissa_prophet', 'bill_allison', 'joe_la_due', 'joseph_p_reidy', 'craig_vincent', 'carl_ciarfalio', 'gene_ruffini', 'dominick_grieco', 'clem_caserta', 'daniel_p_conte', 'joey_depinto', 'jack_orend', 'paul_herman', 'jed_mills', 'claudia_haro', 'ffolliott_le_coque', 'john_manca', 'ronald_maccone', 'joseph_bono', 'frank_adonis', 'anthony_russell', 'stuart_nisbet', 'alfred_nittoli']",['martin_scorsese'],"['drama', 'crime']","['poker', 'drug_abuse', '1970s', 'overdose', 'illegal_prostitution']",en
16,sense_and_sensibility,"['kate_winslet', 'emma_thompson', 'hugh_grant', 'tom_wilkinson', 'alan_rickman', 'imogen_stubbs', 'greg_wise', 'hugh_laurie', 'imelda_staunton', 'robert_hardy', 'oliver_ford_davies', 'james_fleet', 'harriet_walter', 'gemma_jones', 'emilie_francois', 'elizabeth_spriggs', 'richard_lumsden']",['ang_lee'],"['drama', 'romance']","['bowling', 'based_on_novel', 'servant', 'country_life', 'jane_austen']",en
17,four_rooms,"['tim_roth', 'antonio_banderas', 'jennifer_beals', 'madonna', 'marisa_tomei', 'bruce_willis', 'quentin_tarantino', 'sammi_davis', 'amanda_de_cadenet', 'valeria_golino', 'lili_taylor', 'lawrence_bender', 'ione_skye', 'alicia_witt', 'david_proval', 'lana_mckissack', 'tamlyn_tomita', 'kathy_griffin', 'paul_calderon', 'salma_hayek', 'patricia_vonne', 'danny_verduzco', 'kimberly_blair', 'marc_lawrence']","['allison_anders', 'alexandre_rockwell', 'robert_rodriguez', 'quentin_tarantino']","['crime', 'comedy']","['hotel', 'new_year_s_eve', 'witch', 'bet', 'hotel_room']",en
